file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
A 44.3-mW 62.4-fps Hyperspectral Image Processor for Spectral Unmixing in MAV Remote Sensing.pdf,A 44.3-mW 62.4-fps Hyperspectral Image Processor for Spectral Unmixing in MAV Remote Sensing,10.1109/JSSC.2024.3456889,2025,IEEE Journal of Solid-State Circuits,yes,,mixed,mixed,survey/dataset/tool,10.1109/jssc.2024.3456889,1
A Benchmark Linear Unmixing Dataset With Spectral Variability and Ground Truth.pdf,A Benchmark Linear Unmixing Dataset With Spectral Variability and Ground Truth,10.1109/WHISPERS69515.2025.11501633,,TBD,yes,,mixed,mixed,survey/dataset/tool,10.1109/whispers69515.2025.11501633,1
A Biobjective Model-Driven Autocoder for Blind Hyperspectral Unmixing.pdf,A Biobjective Model-Driven Autocoder for Blind Hyperspectral Unmixing,10.1109/TGRS.2025.3577325,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; attention; kernel,10.1109/tgrs.2025.3577325,2
A Detailed Analysis of Datasets Used in HSI in the Context of Mixture Models for Unmixing.pdf,A Detailed Analysis of Datasets Used in HSI in the Context of Mixture Models for Unmixing,10.1109/MERCon63886.2024.10689093,,TBD,yes,,mixed,mixed,survey/dataset/tool,10.1109/mercon63886.2024.10689093,1
A Fast Sparse NMF Optimization Algorithm for Hyperspectral Unmixing.pdf,A Fast Sparse NMF Optimization Algorithm for Hyperspectral Unmixing,10.1109/JSTARS.2023.3341583,2024,TBD,yes,,linear,blind,linear blind unmixing; NMF; sparse; attention,10.1109/jstars.2023.3341583,1
A Generalized Multiscale Bundle-Based Hyperspectral Sparse Unmixing Algorithm.pdf,A Generalized Multiscale Bundle-Based Hyperspectral Sparse Unmixing Algorithm,10.1109/LGRS.2024.3358694,2024,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; sparse; bundle; spectral variability; multiscale,10.1109/lgrs.2024.3358694,1
A Global-to-Local Spectral-Spatial Attention-Based Nonlinearity and Scaled Endmember Variability Parametric Learning Network for Unmixing.pdf,A Global-to-Local Spectral-Spatial Attention-Based Nonlinearity and Scaled Endmember Variability Parametric Learning Network for Unmixing,10.1109/JSTARS.2025.3584232,2025,TBD,no,related application / not core HU survey,,,,10.1109/jstars.2025.3584232,1
A Hyperspectral Unmixing Method Based on Matrix Spiral Scanning Mamba.pdf,A Hyperspectral Unmixing Method Based on Matrix Spiral Scanning Mamba,10.1109/ICAACE69793.2026.11508730,2026,2026 9th International Conference on Advanced Algorithms and Control Engineering (ICAACE),yes,,linear,blind,linear blind unmixing; Mamba; state space model; spiral scanning,10.1109/icaace69793.2026.11508730,1
A Multimodal Hyperspectral Unmixing Method Under Spectral Variability.pdf,A Multimodal Hyperspectral Unmixing Method Under Spectral Variability,10.1109/IGARSS53475.2024.10641781,,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; sparse; spectral variability; attention; multimodal,10.1109/igarss53475.2024.10641781,1
A Multiscale Autoencoder Framework for Hyperspectral Unmixing.pdf,A Multiscale Autoencoder Framework for Hyperspectral Unmixing,10.1109/ICICSP66564.2025.11338376,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; GAN; attention; multiscale,10.1109/icicsp66564.2025.11338376,1
A Multiscale Synergistic Attention Network With Initialized Endmembers for Hyperspectral Unmixing.pdf,A Multiscale Synergistic Attention Network With Initialized Endmembers for Hyperspectral Unmixing,10.1109/LGRS.2026.3672340,2026,IEEE Geoscience and Remote Sensing Letters,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; attention; multiscale,10.1109/lgrs.2026.3672340,1
A New ADMM-Based Hyperspectral Unmixing Algorithm Associated with a Linear Mixing Model Addressing Spectral Variability with a Multiplicative Structure.pdf,A New ADMM-Based Hyperspectral Unmixing Algorithm Associated with a Linear Mixing Model Addressing Spectral Variability with a Multiplicative Structure,10.1109/IGARSS53475.2024.10640925,,TBD,yes,,linear,blind,linear blind unmixing; ADMM; spectral variability,10.1109/igarss53475.2024.10640925,1
A New Dual-Feature Fusion Network for Enhanced Hyperspectral Unmixing.pdf,A New Dual-Feature Fusion Network for Enhanced Hyperspectral Unmixing,10.1109/TGRS.2024.3505292,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder,10.1109/tgrs.2024.3505292,1
A New Fast Sparse Unmixing Algorithm Based on Adaptive Spectral Library Pruning and Nesterov Optimization.pdf,A New Fast Sparse Unmixing Algorithm Based on Adaptive Spectral Library Pruning and Nesterov Optimization,10.1109/JSTARS.2025.3541257,2025,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing; sparse; graph; attention,10.1109/jstars.2025.3541257,1
A New Hyperspectral Unmixing Benchmark for Weak Signal Meat Contamination Detection.pdf,A New Hyperspectral Unmixing Benchmark for Weak Signal Meat Contamination Detection,10.1109/DICTA63115.2024.00088,,TBD,yes,,mixed,mixed,survey/dataset/tool,10.1109/dicta63115.2024.00088,1
A New Version of an Endmember-Guided Autoencoder -EGAE-V2- with Improved Architecture and Regularization by Correlation Between Ground Truths and Latent Activations.pdf,A New Version of an Endmember-Guided Autoencoder (EGAE-V2) with Improved Architecture and Regularization by Correlation Between Ground Truths and Latent Activations,10.1109/WHISPERS65427.2024.10876451,,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; autoencoder; GAN,10.1109/whispers65427.2024.10876451,1
A Novel Bundle-Based Autoencoder for Hyperspectral Unmixing with Spectral Variability.pdf,A Novel Bundle-Based Autoencoder for Hyperspectral Unmixing with Spectral Variability,10.1109/IGARSS55030.2025.11242593,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; transformer; bundle; spectral variability,10.1109/igarss55030.2025.11242593,1
A Novel Endmember Bundle Extraction Framework for Capturing Endmember Variability by Dynamic Optimization.pdf,A Novel Endmember Bundle Extraction Framework for Capturing Endmember Variability by Dynamic Optimization,10.1109/TGRS.2024.3354046,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; graph; bundle; spectral variability,10.1109/tgrs.2024.3354046,1
A Novel Hyperspectral Unmixing Approach Jointly Addressing Nonlinearity and Spectral Variability in Urban Environments.pdf,A Novel Hyperspectral Unmixing Approach Jointly Addressing Nonlinearity and Spectral Variability in Urban Environments,10.1109/IGARSS55030.2025.11243933,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; NMF; spectral variability,10.1109/igarss55030.2025.11243933,1
