file,title,doi,reason
A Global-to-Local Spectral-Spatial Attention-Based Nonlinearity and Scaled Endmember Variability Parametric Learning Network for Unmixing.pdf,A Global-to-Local Spectral-Spatial Attention-Based Nonlinearity and Scaled Endmember Variability Parametric Learning Network for Unmixing,10.1109/JSTARS.2025.3584232,related application / not core HU survey
A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery.pdf,A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery,10.1109/JSTARS.2026.3689661,related application / not core HU survey
Active Hyperspectral-Based Projects at the Algerian Space Agency.pdf,Active Hyperspectral-Based Projects at the Algerian Space Agency,10.1109/M2GARSS57310.2024.10537363,related application / not core HU survey
Application of Spatio-Spectral Fusion and Sparse Unmixing for Alteration Mineral Mapping in the Eastern Tianshan- Xinjiang.pdf,"Application of Spatio-Spectral Fusion and Sparse Unmixing for Alteration Mineral Mapping in the Eastern Tianshan, Xinjiang",10.1109/WHISPERS69515.2025.11501573,related application / not core HU survey
Combining 4D Hyperspectral Imaging With CNN for Nerve and Ligament Differentiation.pdf,Combining 4D Hyperspectral Imaging With CNN for Nerve and Ligament Differentiation,10.1109/ISBI60581.2025.10981284,related application / not core HU survey
Cycle-Consistent Sparse Unmixing Network Based on Deep Image Prior.pdf,Cycle-Consistent Sparse Unmixing Network Based on Deep Image Prior,10.1109/IGARSS53475.2024.10641125,related application / not core HU survey
DBNSR Hyperspectral Image Super-Resolution Based on Dual-Branch Network.pdf,DBNSR: Hyperspectral Image Super-Resolution Based on Dual-Branch Network,10.1109/TGRS.2026.3678075,related application / not core HU survey
Deep Learning-Based Spectral Unmixing of Low Resolution Sentinel-2 Data for Monitoring Small Rivers A Case Study at Enguri River- Georgia.pdf,"Deep Learning-Based Spectral Unmixing of Low Resolution Sentinel-2 Data for Monitoring Small Rivers: A Case Study at Enguri River, Georgia",10.1109/WHISPERS69515.2025.11501649,related application / not core HU survey
Detecting Nearshore Underwater Targets With Hyperspectral Nonlinear Unmixing Autoencoder.pdf,Detecting Nearshore Underwater Targets With Hyperspectral Nonlinear Unmixing Autoencoder,10.1109/TGRS.2024.3454818,related application / not core HU survey
Endmember-Guided Spectral-Spatial Feature Diffusion for Hyperspectral Anomaly Detection.pdf,Endmember-Guided Spectral-Spatial Feature Diffusion for Hyperspectral Anomaly Detection,10.1109/TGRS.2025.3641223,related application / not core HU survey
Estimating Hemoglobin Changes in Body Tissue Using Multispectral Imaging- Spectral Unmixing and Machine Learning.pdf,"Estimating Hemoglobin Changes in Body Tissue Using Multispectral Imaging, Spectral Unmixing and Machine Learning",10.1109/ACCESS.2026.3697681,related application / not core HU survey
Explicit Background Endmember Learning for Hyperspectral Anomaly Detection.pdf,Explicit Background Endmember Learning for Hyperspectral Anomaly Detection,10.1109/TIM.2024.3446609,related application / not core HU survey
Full-Mode-Augmentation Tensor-Train Rank Minimization for Hyperspectral Image Inpainting.pdf,Full-Mode-Augmentation Tensor-Train Rank Minimization for Hyperspectral Image Inpainting,10.1109/TGRS.2023.3341030,related application / not core HU survey
Generalized Linear Mixing Model Based Environmental Monitoring Of Marine Mucilage.pdf,Generalized Linear Mixing Model Based Environmental Monitoring Of Marine Mucilage,10.1109/M2GARSS57310.2024.10537460,related application / not core HU survey
